Last Name,First Name,Preferred Name,Preferred Pronoun,SF ID #,Program Code,Phone,Email
Minion,Bob,Bob,he/him,2211-4456,1031,910-432-8765,bob.minion@go.sfcollege.edu
Nichols,James,James,,1234-5678,1115,352-395-5220,james.nichols@sfcollege.edu
Person,Punny,,,9999-1111,1013,352-123-4567,punny.person@go.sfcollege.edu
Person,Punny2,,,9999-1112,1059,352-123-6792,punny2.person@go.sfcollege.edu
Person,Punny3,,,9999-1113,1051,352-123-3420,punny3.person@go.sfcollege.edu
Smart,Maxwell,Max,,9922-4029,1065,310-2910,agent.smart@go.sfcollege.edu
Tree,Groot,Groot,,1122-3344,1057,361-1234-5678,groot.tree@go.sfcollege.edu
Washington,George,George,,1001-1001,1061,361-1234-5679,George.Washington@go.sfcollege.edu
Adams,John,John,,1001-1002,1068,361-1234-5680,John.Adams@go.sfcollege.edu
Jefferson,Thomas,Thomas,,1001-1003,1021,361-1234-5681,Thomas.Jefferson@go.sfcollege.edu
Madison,James,James,,1001-1004,1063,361-1234-5682,James.Madison@go.sfcollege.edu
Monroe,James,James,,1001-1005,1052,361-1234-5683,James.Monroe@go.sfcollege.edu
Quincy Adams,John,John,,1001-1006,1030,361-1234-5684,John.Quincy Adams@go.sfcollege.edu
Jackson,Andrew,Andrew,,1001-1007,1022,361-1234-5685,Andrew.Jackson@go.sfcollege.edu
Van Buren,Martin,Martin,,1001-1008,1086,361-1234-5686,Martin.Van Buren@go.sfcollege.edu
Henry Harrison,William,William,,1001-1009,1005,361-1234-5687,William.Henry Harrison@go.sfcollege.edu
Tyler,John,John,,1001-1010,1089,361-1234-5688,John.Tyler@go.sfcollege.edu
K. Polk,James,James,,1001-1011,3504,361-1234-5689,James.K. Polk@go.sfcollege.edu
Taylor,Zachary,Zachary,,1001-1012,1002,361-1234-5690,Zachary.Taylor@go.sfcollege.edu
Fillmore,Millard,Millard,,1001-1013,1131,361-1234-5691,Millard.Fillmore@go.sfcollege.edu
Pierce,Franklin,Franklin,,1001-1014,1066,361-1234-5692,Franklin.Pierce@go.sfcollege.edu
Buchanan,James,James,,1001-1015,1205,361-1234-5693,James.Buchanan@go.sfcollege.edu
Lincoln,Abraham,Abraham,,1001-1016,1136,361-1234-5694,Abraham.Lincoln@go.sfcollege.edu
Johnson,Andrew,Andrew,,1001-1017,1041,361-1234-5695,Andrew.Johnson@go.sfcollege.edu
S. Grant,Ulysses,Ulysses,,1001-1018,1055,361-1234-5696,Ulysses.S. Grant@go.sfcollege.edu
B. Hayes,Rutherford,Rutherford,,1001-1019,1055,361-1234-5697,Rutherford.B. Hayes@go.sfcollege.edu
A. Garfield,James,James,,1001-1020,1081,361-1234-5698,James.A. Garfield@go.sfcollege.edu
A. Arthur,Chester,Chester,,1001-1021,1054,361-1234-5699,Chester.A. Arthur@go.sfcollege.edu
Cleveland,Grover,Grover,,1001-1022,1042,361-1234-5700,Grover.Cleveland@go.sfcollege.edu
Harrison,Benjamin,Benjamin,,1001-1023,1016,361-1234-5701,Benjamin.Harrison@go.sfcollege.edu
Cleveland (2nd term),Grover,Grover,,1001-1024,1119,361-1234-5702,Grover.Cleveland (2nd term)@go.sfcollege.edu
McKinley,William,William,,1001-1025,1070,361-1234-5703,William.McKinley@go.sfcollege.edu
Roosevelt,Theodore,Theodore,,1001-1026,1017,361-1234-5704,Theodore.Roosevelt@go.sfcollege.edu
Howard Taft,William,William,,1001-1027,1015,361-1234-5705,William.Howard Taft@go.sfcollege.edu
Wilson,Woodrow,Woodrow,,1001-1028,1114,361-1234-5706,Woodrow.Wilson@go.sfcollege.edu
G. Harding,Warren,Warren,,1001-1029,1123,361-1234-5707,Warren.G. Harding@go.sfcollege.edu
Coolidge,Calvin,Calvin,,1001-1030,1083,361-1234-5708,Calvin.Coolidge@go.sfcollege.edu
Hoover,Herbert,Herbert,,1001-1031,1200,361-1234-5709,Herbert.Hoover@go.sfcollege.edu
D. Roosevelt,Franklin,Franklin,,1001-1032,1012,361-1234-5710,Franklin.D. Roosevelt@go.sfcollege.edu
S. Truman,Harry,Harry,,1001-1033,1092,361-1234-5711,Harry.S. Truman@go.sfcollege.edu
D. Eisenhower,Dwight,Dwight,,1001-1034,1018,361-1234-5712,Dwight.D. Eisenhower@go.sfcollege.edu
F. Kennedy,John,John,,1001-1035,3651,361-1234-5713,John.F. Kennedy@go.sfcollege.edu
B. Johnson,Lyndon,Lyndon,,1001-1036,3841,361-1234-5714,Lyndon.B. Johnson@go.sfcollege.edu
Nixon,Richard,Richard,,1001-1037,3840,361-1234-5715,Richard.Nixon@go.sfcollege.edu
ABELE,STEVEN,Gerald,,1001-1038,3842,361-1234-5716,STEVEN.ABELE@go.sfcollege.edu
ACOSTA,TONY,Jimmy,,1001-1039,3842,361-1234-5717,TONY.ACOSTA@go.sfcollege.edu
ADAMS,MALCOLM,Ronald,,1001-1040,1023,361-1234-5718,MALCOLM.ADAMS@go.sfcollege.edu
ADDISON,TRAVIS,George,,1001-1041,3624,361-1234-5719,TRAVIS.ADDISON@go.sfcollege.edu
